,Fecha,Predicciones
498,2023-07-31,0.9905658891341889
499,2023-08-31,1.0002602076572278
500,2023-09-30,1.0340571238665472
501,2023-10-31,1.0711579428584612
502,2023-11-30,1.0592703032102617
503,2023-12-31,1.035975700000585
504,2024-01-31,1.0578116286076236
505,2024-02-29,1.0659804583015549
506,2024-03-31,1.167644791066496
507,2024-04-30,1.0769251155219481
508,2024-05-31,1.0307552983807469
509,2024-06-30,1.0100057091328225
510,2024-07-31,1.0046005261587188
511,2024-08-31,1.0218558904258814
512,2024-09-30,1.0528670176539083
513,2024-10-31,1.0918342059520572
514,2024-11-30,1.069189237281872
515,2024-12-31,1.052052642941593
516,2025-01-31,1.0743323659586665
517,2025-02-28,1.0891220948016231
518,2025-03-31,1.1977607997961632
519,2025-04-30,1.0983850739225058
520,2025-05-31,1.0536374491532285
521,2025-06-30,1.0389065194128377
522,2025-07-31,1.0305651474868556
523,2025-08-31,1.0474096085611324
524,2025-09-30,1.0785721288141423
525,2025-10-31,1.1174378897260477
526,2025-11-30,1.0953775254865188
527,2025-12-31,1.0779062756512083
